zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
95110,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,650,831,714",37.34,-121.9,NA,US,0,12621,
95111,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.28,-121.83,NA,US,0,43578,
95112,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,209,415,650,916",37.34,-121.88,NA,US,0,34111,
95113,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,650",37.33,-121.89,NA,US,0,1049,
95115,PO BOX,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.3,-121.89,NA,US,0,0,
95116,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.35,-121.85,NA,US,0,35357,
95117,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.31,-121.96,NA,US,0,22030,
95118,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.25,-121.88,NA,US,0,26249,
95119,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.22,-121.78,NA,US,0,8171,
95120,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.19,-121.83,NA,US,0,33486,
95121,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.3,-121.8,NA,US,0,30427,
95122,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"650,408",37.33,-121.83,NA,US,0,41936,
95123,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.23,-121.82,NA,US,0,50481,
95124,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,650",37.25,-121.92,NA,US,0,39234,
95125,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,831",37.29,-121.88,NA,US,0,41048,
95126,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.32,-121.91,NA,US,0,23076,
95127,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.37,-121.75,NA,US,0,46641,
95128,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,714",37.31,-121.93,NA,US,0,25327,
95129,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,510,831",37.3,-122,NA,US,0,32839,
95130,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,510",37.28,-121.98,NA,US,0,10841,
95131,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,"408,650",37.38,-121.9,NA,US,0,24403,
95132,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.42,-121.77,NA,US,0,34344,
95133,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.37,-121.86,NA,US,0,20337,
95134,STANDARD,San Jose,,,CA,Santa Clara County,America/Los_Angeles,408,37.42,-121.94,NA,US,0,12670,
