9281,Primary Plus Elementary School,K-8,private,95117
26336,Amrita Academy,5-12,private,94087
5615,Lucille M. Nixon Elementary School,K-5,public,94305
6879,Thornton High School,9-12,public,94014
11695,Manzanita Middle School,6-8,charter,94806
14278,Guerneville Community Day School,6-8,public,95446
5725,Happy Valley Elementary School,K-6,public,95065
7070,Morrice Schaefer Charter School,K-6,charter,95403
5550,Marshall Pomeroy Elementary School,K-6,public,95035
14850,Far East County Programs School,K-12,public,94513
6995,Spruce Elementary School,K-5,public,94080
8904,Valley Christian High School,9-12,private,95111
15363,The Harker School Lower Division,K-6,private,95130
7106,Hidden Valley Elementary Satellite School,K-6,public,95404
6618,Weston Elementary School,K-8,public,95366
5468,Cedar Grove Elementary School,K-6,public,95148
14359,Sonoma County Court School,K-12,public,95403
6600,August Knodt Elementary School,K-8,public,95206
8112,St. Brigid School,K-8,private,94109
16701,Two Hearts Academy,K-12,private,95124
5656,Castillero Middle School,6-8,public,95120
13432,San Jose Montessori School,K,private,95126
259,Skyline High School,9-12,public,94619
9903,Star Academy,1-12,private,94903
9149,Crossroads Christian School,K-8,private,95037
5413,Castlemont Elementary School,K-5,charter,95008
8255,St. Mary of the Immaculate Conception School,PK-8,private,94596
5783,Santa Cruz Gardens Elementary School,K-5,public,95065
5423,Boynton High School,9-12,public,95117
14376,Camden Community Day School,9-12,public,95124
6429,Serra (Junipero) Elementary School,K-5,public,94110
23781,Camelot School,K,private,94546
12908,Cedarwood Sudbury School,1-2, 9-12,private,95051
9814,Orinda Academy,7-12,private,94563
5698,Willow Glen Middle School,6-8,public,95125
5498,Homestead High School,9-12,public,95014
11184,Windsor Creek Elementary School,2-3,public,95492
6393,Life Learning Academy Charter,9-12,charter,94130
17629,Cordelia Hills Elementary School,K-6,public,94534
16669,Heart Academy,K-12,private,95127
6609,Sierra High School,9-12,public,95336
9639,International Christian School,7-12,private,94579
6932,Mckinley Institute Of Technology,6-8,public,94062
14682,Willow Community Day School,7-12,public,95376
6442,Tenderloin Community,K-5,public,94102
24685,Marina Vista Elementary School,K-5,public,94565
490,Pine Hollow Middle School,6-8,public,94521
5684,Reed Elementary School,K-5,public,95118
11449,Manteca Adventist Christian School,1-7,private,95336
9866,Rise Institute,K-12,private,94124
6862,West Hillsborough School,K-5,public,94010
31109,Summit Public School: Shasta,9-12,charter,94015
8096,Corpus Christi School,K-8,private,94112
6433,Sloat (Commodore) Elementary School,K-5,public,94127
11159,Pacific Collegiate Charter School,7-12,charter,95060
10120,Seneca Family Of Agencies - Pathfinder Academy,5-12,private,94538
133,Schafer Park Elementary School,K-6,public,94544
6450,Washington (George) High School,9-12,public,94121
548,Montevideo Elementary School,K-5,public,94583
9092,St. Lawrence Elementary and Middle School,PK-8,private,95051
7026,Forestville Elementary School,K-1,public,95436
158,Emma C. Smith Elementary School,K-5,public,94550
6668,Gladys Poet-Christian Elementary School,K-8,public,95376
17448,Antioch Charter Academy Ii,K-8,charter,94509
554,Tassajara Hills Elementary School,K-5,public,94506
11853,Art Freiler School,K-8,public,95376
25571,Realm Charter Middle School,6-8,charter,94710
15820,Hillview Christian Academy,K-12,private,94609
5458,Mount Pleasant High School,9-12,public,95127
8576,Challenge To Learning,7-12,private,94118
7012,El Camino High School,9-12,public,94928
26371,Central Christian School,K-12,private,95076
31538,Presidio Knolls School,K-1,private,94103
5588,Del Roble Elementary School,K-6,public,95123
8577,St. Matthew's Episcopal Day School,K-8,private,94401
5555,John Sinnott Elementary School,K-6,public,95035
9754,Magic Apple School,2-6,private,95003
14162,County Community School,7-12,public,95131
6530,Farmington Elementary School,K-5,public,95230
9742,Lea's Christian,K-4,private,94545
8729,Woodroe Woods School,PK-2,private,94541
16684,Pioneer Family Academy,K-12,private,95008
9449,St. Timothy's Lutheran School,PK-5,private,95124
10886,Briones (Alternative) School,K-12,public,94553
6408,Milk (Harvey) Civil Rights Elementary School,K-5,public,94114
9452,Almaden Country School,K-8,private,95120
24006,Life Training Academy,K-12,private,95242
17533,University Preparatory Academy Charter,7-12,charter,95125
24018,Green Arbor Christian School,K-12,private,95127
6567,Lodi High School,9-12,public,95242
5779,San Lorenzo Valley Middle School,6-8,public,95018
6993,South San Francisco High School,9-12,public,94080
5604,Barron Park Elementary School,K-5,public,94306
15521,Pinewood Private-Lower Campus School,K-2,private,94024
7094,Dunbar Elementary School,K-5,public,95442
12098,Adele Harrison Middle School,6-8,public,95476
6563,Lawrence Elementary School,K-6,public,95240
10889,Venture (Alternative) School,K-12,public,94582
5483,Bridges Academy,7-8,charter,95122
5597,Sakamoto Elementary School,K-6,public,95123
8581,Santa Cruz Montessori School,K-8,private,95003
5440,Christa McAuliffe Elementary School,K-8,public,95070
6337,Aptos Middle School,6-8,public,94127
10868,Reems (Ernestine C.) Academy Of Technology And Art,K-8,charter,94605
